,video_name,question,answer_number,question_id,question_type,a0,a1,a2,a3,answer
25,KA09C_13.4_18.5,Which object was put down by the person?,2,Interaction_T1_184,Interaction_T1,The broom.,The paper/notebook.,The shoe.,The bag.,The shoe.
26,H0L5S_20.4_27.5,Which object was taken by the person?,0,Interaction_T1_188,Interaction_T1,The towel.,The pillow.,The picture.,The phone/camera.,The towel.
27,7MRKY_29.9_36.1,Which object was closed by the person?,2,Interaction_T1_197,Interaction_T1,The closet/cabinet.,The box.,The laptop.,The book.,The laptop.
28,7MRKY_24.8_32.8,Which object was put down by the person?,1,Interaction_T1_198,Interaction_T1,The cup/glass/bottle.,The broom.,The pillow.,The clothes.,The broom.
29,7HSZJ_17.2_22,Which object was put down by the person?,2,Interaction_T1_210,Interaction_T1,The box.,The pillow.,The towel.,The food.,The towel.
30,7HSZJ_19.5_24.4,Which object was put down by the person?,1,Interaction_T1_211,Interaction_T1,The paper/notebook.,The towel.,The picture.,The dish.,The towel.
31,7HSZJ_15.2_20.1,Which object was taken by the person?,3,Interaction_T1_212,Interaction_T1,The cup/glass/bottle.,The clothes.,The food.,The towel.,The towel.
32,7HSZJ_18.9_23.4,Which object was taken by the person?,2,Interaction_T1_213,Interaction_T1,The picture.,The book.,The towel.,The paper/notebook.,The towel.
33,TBRZ5_7_13.2,Which object was thrown by the person?,3,Interaction_T1_226,Interaction_T1,The bag.,The box.,The clothes.,The pillow.,The pillow.
34,TBRZ5_6.8_15.6,Which object was put down by the person?,3,Interaction_T1_227,Interaction_T1,The book.,The dish.,The shoe.,The pillow.,The pillow.
35,DGPAW_3.5_12.8,Which object was put down by the person?,3,Interaction_T1_235,Interaction_T1,The phone/camera.,The book.,The clothes.,The picture.,The picture.
36,E002I_4.7_14.1,Which object was lied on by the person?,1,Interaction_T1_236,Interaction_T1,The door.,The bed.,The sofa/couch.,The floor.,The bed.
37,E002I_3_8.3,Which object was taken by the person?,1,Interaction_T1_238,Interaction_T1,The picture.,The pillow.,The book.,The blanket.,The pillow.
38,E002I_4.1_9.4,Which object was put down by the person?,3,Interaction_T1_239,Interaction_T1,The dish.,The phone/camera.,The sandwich.,The pillow.,The pillow.
39,6CAZU_10.6_16.1,Which object was taken by the person?,1,Interaction_T1_262,Interaction_T1,The towel.,The sandwich.,The paper/notebook.,The picture.,The sandwich.
40,QLAS7_10.6_18.5,Which object was tidied up by the person?,0,Interaction_T1_263,Interaction_T1,The closet/cabinet.,The broom.,The blanket.,The table.,The closet/cabinet.
41,QLAS7_8.5_16.6,Which object was put down by the person?,2,Interaction_T1_264,Interaction_T1,The laptop.,The paper/notebook.,The picture.,The box.,The picture.
42,D1WYU_7.2_14.4,Which object was thrown by the person?,1,Interaction_T1_287,Interaction_T1,The pillow.,The bag.,The clothes.,The blanket.,The bag.
43,D1WYU_20.3_25.2,Which object was put down by the person?,1,Interaction_T1_288,Interaction_T1,The pillow.,The shoe.,The clothes.,The cup/glass/bottle.,The shoe.
44,D1WYU_8.1_13.8,Which object was put down by the person?,2,Interaction_T1_289,Interaction_T1,The shoe.,The food.,The bag.,The phone/camera.,The bag.
45,VIN5T_1.4_6,Which object was put down by the person?,1,Interaction_T1_293,Interaction_T1,The clothes.,The pillow.,The blanket.,The cup/glass/bottle.,The pillow.
46,VIN5T_1.5_6.2,Which object was thrown by the person?,0,Interaction_T1_294,Interaction_T1,The pillow.,The box.,The broom.,The clothes.,The pillow.
47,MXATD_0_6,Which object was taken by the person?,2,Interaction_T1_297,Interaction_T1,The clothes.,The picture.,The dish.,The cup/glass/bottle.,The dish.
48,MXATD_0.2_6,Which object was put down by the person?,3,Interaction_T1_298,Interaction_T1,The book.,The cup/glass/bottle.,The bag.,The dish.,The dish.
49,MXATD_0.6_9,Which object was washed by the person?,0,Interaction_T1_299,Interaction_T1,The dish.,The table.,The cup/glass/bottle.,The clothes.,The dish.
50,YB67Z_13.7_18.9,Which object was closed by the person?,1,Interaction_T1_307,Interaction_T1,The door.,The box.,The window.,The closet/cabinet.,The box.
51,YB67Z_14.3_21,Which object was taken by the person?,0,Interaction_T1_308,Interaction_T1,The box.,The dish.,The towel.,The blanket.,The box.
52,YB67Z_11.9_19.1,Which object was tidied up by the person?,2,Interaction_T1_309,Interaction_T1,The clothes.,The closet/cabinet.,The table.,The broom.,The table.
53,YB67Z_12.7_22.3,Which object was put down by the person?,2,Interaction_T1_310,Interaction_T1,The book.,The blanket.,The box.,The bag.,The box.
54,1O1JS_0_3.7,Which object was taken by the person?,1,Interaction_T1_320,Interaction_T1,The box.,The towel.,The clothes.,The picture.,The towel.
55,1O1JS_26.2_30.9,Which object was put down by the person?,3,Interaction_T1_321,Interaction_T1,The cup/glass/bottle.,The paper/notebook.,The clothes.,The towel.,The towel.
56,A2X7Q_11.1_18.7,Which object was put down by the person?,1,Interaction_T1_350,Interaction_T1,The food.,The sandwich.,The clothes.,The towel.,The sandwich.
57,1L5D3_13.6_21.6,Which object was put down by the person?,3,Interaction_T1_357,Interaction_T1,The broom.,The cup/glass/bottle.,The clothes.,The pillow.,The pillow.
58,1L5D3_2.9_10,Which object was taken by the person?,0,Interaction_T1_358,Interaction_T1,The pillow.,The cup/glass/bottle.,The book.,The food.,The pillow.
59,3N1I2_14.2_20.3,Which object was taken by the person?,1,Interaction_T1_373,Interaction_T1,The box.,The pillow.,The blanket.,The bag.,The pillow.
60,S572F_13_21,Which object was taken by the person?,2,Interaction_T1_375,Interaction_T1,The phone/camera.,The food.,The blanket.,The towel.,The blanket.
61,S572F_0.6_10.4,Which object was put down by the person?,3,Interaction_T1_376,Interaction_T1,The laptop.,The food.,The bag.,The towel.,The towel.
62,ATV2F_12.7_20.7,Which object was opened by the person?,3,Interaction_T1_379,Interaction_T1,The refrigerator.,The box.,The door.,The laptop.,The laptop.
63,IWTWJ_13.2_20.8,Which object was sat on by the person?,2,Interaction_T1_391,Interaction_T1,The floor.,The bed.,The sofa/couch.,The table.,The sofa/couch.
64,IWTWJ_4.2_9.5,Which object was tidied up by the person?,2,Interaction_T1_393,Interaction_T1,The clothes.,The closet/cabinet.,The blanket.,The towel.,The blanket.
65,NJANX_3_9.7,Which object was put down by the person?,1,Interaction_T1_425,Interaction_T1,The dish.,The box.,The pillow.,The towel.,The box.
66,NJANX_17.7_22,Which object was washed by the person?,0,Interaction_T1_426,Interaction_T1,The table.,The mirror.,The cup/glass/bottle.,The clothes.,The table.
67,NJANX_2.4_9.6,Which object was taken by the person?,1,Interaction_T1_427,Interaction_T1,The towel.,The box.,The bag.,The phone/camera.,The box.
68,TRHT1_0_4.2,Which object was sat on by the person?,2,Interaction_T1_432,Interaction_T1,The bed.,The floor.,The sofa/couch.,The table.,The sofa/couch.
69,W0QSB_25.9_35,Which object was put down by the person?,1,Interaction_T1_453,Interaction_T1,The paper/notebook.,The dish.,The broom.,The cup/glass/bottle.,The dish.
70,W0QSB_25.6_35,Which object was taken by the person?,0,Interaction_T1_454,Interaction_T1,The dish.,The laptop.,The phone/camera.,The food.,The dish.
71,C83CH_11.9_17,Which object was put down by the person?,2,Interaction_T1_455,Interaction_T1,The cup/glass/bottle.,The pillow.,The clothes.,The shoe.,The clothes.
72,C83CH_11.9_17,Which object was thrown by the person?,0,Interaction_T1_456,Interaction_T1,The clothes.,The box.,The broom.,The shoe.,The clothes.
73,5NG6Q_9.9_18.1,Which object was taken by the person?,1,Interaction_T1_457,Interaction_T1,The paper/notebook.,The dish.,The broom.,The book.,The dish.
74,5NG6Q_13.8_21,Which object was put down by the person?,2,Interaction_T1_458,Interaction_T1,The food.,The broom.,The dish.,The towel.,The dish.
75,5NG6Q_17.7_25.4,Which object was washed by the person?,2,Interaction_T1_459,Interaction_T1,The clothes.,The window.,The dish.,The table.,The dish.
76,5NG6Q_17.6_25.6,Which object was tidied up by the person?,0,Interaction_T1_460,Interaction_T1,The table.,The closet/cabinet.,The blanket.,The clothes.,The table.
77,C1DK7_4.2_10.2,Which object was closed by the person?,1,Interaction_T1_476,Interaction_T1,The box.,The laptop.,The door.,The closet/cabinet.,The laptop.
78,C1DK7_17.1_21.6,Which object was put down by the person?,3,Interaction_T1_479,Interaction_T1,The book.,The box.,The food.,The phone/camera.,The phone/camera.
79,V0ZD9_23.5_28.5,Which object was taken by the person?,3,Interaction_T1_506,Interaction_T1,The book.,The shoe.,The food.,The clothes.,The clothes.
80,YHXU9_14.7_19.2,Which object was tidied up by the person?,3,Interaction_T1_520,Interaction_T1,The table.,The towel.,The closet/cabinet.,The clothes.,The clothes.
81,YHXU9_19.3_25,Which object was thrown by the person?,3,Interaction_T1_522,Interaction_T1,The shoe.,The broom.,The food.,The book.,The book.
82,PH5VU_30.5_37.4,Which object was opened by the person?,0,Interaction_T1_526,Interaction_T1,The book.,The bag.,The door.,The closet/cabinet.,The book.
83,VJG6E_9_18,Which object was opened by the person?,3,Interaction_T1_531,Interaction_T1,The window.,The door.,The book.,The laptop.,The laptop.
84,VJG6E_2.7_9.4,Which object was thrown by the person?,0,Interaction_T1_532,Interaction_T1,The blanket.,The towel.,The pillow.,The broom.,The blanket.
85,VJG6E_3_10,Which object was tidied up by the person?,3,Interaction_T1_533,Interaction_T1,The closet/cabinet.,The clothes.,The towel.,The blanket.,The blanket.
86,8V8HC_1.6_8,Which object was thrown by the person?,3,Interaction_T1_536,Interaction_T1,The box.,The bag.,The clothes.,The pillow.,The pillow.
87,8V8HC_1.7_7.1,Which object was taken by the person?,3,Interaction_T1_537,Interaction_T1,The shoe.,The sandwich.,The towel.,The pillow.,The pillow.
88,5C4EK_5.4_11.4,Which object was taken by the person?,2,Interaction_T1_545,Interaction_T1,The phone/camera.,The pillow.,The paper/notebook.,The sandwich.,The paper/notebook.
89,NW0KT_42.6_50,Which object was washed by the person?,0,Interaction_T1_559,Interaction_T1,The mirror.,The clothes.,The window.,The table.,The mirror.
90,NW0KT_8.6_13.9,Which object was taken by the person?,1,Interaction_T1_561,Interaction_T1,The pillow.,The paper/notebook.,The shoe.,The dish.,The paper/notebook.
91,NYHD7_0_4.7,Which object was sat at by the person?,0,Interaction_T1_575,Interaction_T1,The table.,The bed.,The sofa/couch.,The floor.,The table.
92,NYHD7_18_26.9,Which object was taken by the person?,1,Interaction_T1_576,Interaction_T1,The box.,The phone/camera.,The cup/glass/bottle.,The dish.,The phone/camera.
93,NYHD7_22.4_27.2,Which object was put down by the person?,1,Interaction_T1_577,Interaction_T1,The food.,The phone/camera.,The bag.,The pillow.,The phone/camera.
94,3Q6N1_0_4.4,Which object was opened by the person?,1,Interaction_T1_611,Interaction_T1,The door.,The laptop.,The window.,The closet/cabinet.,The laptop.
95,T7ST5_6.8_11.6,Which object was thrown by the person?,2,Interaction_T1_620,Interaction_T1,The shoe.,The pillow.,The towel.,The blanket.,The towel.
96,8SDK5_16.7_23,Which object was sat on by the person?,2,Interaction_T1_631,Interaction_T1,The bed.,The floor.,The sofa/couch.,The table.,The sofa/couch.
97,U9KYC_21.3_29.4,Which object was taken by the person?,1,Interaction_T1_651,Interaction_T1,The book.,The shoe.,The food.,The pillow.,The shoe.
98,9MNZ5_21.1_27.2,Which object was closed by the person?,2,Interaction_T1_652,Interaction_T1,The window.,The laptop.,The box.,The refrigerator.,The box.
99,9MNZ5_9_13.8,Which object was taken by the person?,0,Interaction_T1_653,Interaction_T1,The box.,The picture.,The pillow.,The dish.,The box.
100,9MNZ5_10.4_17.8,Which object was opened by the person?,3,Interaction_T1_654,Interaction_T1,The book.,The door.,The refrigerator.,The box.,The box.
101,DR7K0_13.9_20.7,Which object was put down by the person?,3,Interaction_T1_676,Interaction_T1,The shoe.,The dish.,The sandwich.,The broom.,The broom.
102,M98YV_5.1_11.6,Which object was eaten by the person?,0,Interaction_T1_697,Interaction_T1,The sandwich.,The medicine.,The clothes.,The window.,The sandwich.
103,ON2Z4_22.1_28,Which object was taken by the person?,1,Interaction_T1_711,Interaction_T1,The laptop.,The book.,The phone/camera.,The food.,The book.
104,ON2Z4_8.4_16.3,Which object was taken by the person?,0,Interaction_T1_713,Interaction_T1,The blanket.,The phone/camera.,The paper/notebook.,The pillow.,The blanket.
105,ON2Z4_18.4_23.7,Which object was closed by the person?,1,Interaction_T1_714,Interaction_T1,The door.,The book.,The window.,The laptop.,The book.
106,U5T4M_8.9_14.1,Which object was closed by the person?,2,Interaction_T1_739,Interaction_T1,The door.,The window.,The refrigerator.,The laptop.,The refrigerator.
107,U5T4M_13.4_21,Which object was sat at by the person?,2,Interaction_T1_743,Interaction_T1,The sofa/couch.,The floor.,The table.,The bed.,The table.
108,ZNQVC_24.4_32,Which object was taken by the person?,0,Interaction_T1_745,Interaction_T1,The shoe.,The food.,The book.,The pillow.,The shoe.
109,6ZWSU_11.6_19.8,Which object was put down by the person?,3,Interaction_T1_767,Interaction_T1,The pillow.,The food.,The cup/glass/bottle.,The shoe.,The shoe.
110,YOCI8_0_9,Which object was sat at by the person?,1,Interaction_T1_776,Interaction_T1,The sofa/couch.,The table.,The bed.,The floor.,The table.
111,YOCI8_1_8.8,Which object was tidied up by the person?,0,Interaction_T1_777,Interaction_T1,The table.,The closet/cabinet.,The blanket.,The towel.,The table.
112,G6ZOB_25.7_31.2,Which object was put down by the person?,2,Interaction_T1_818,Interaction_T1,The clothes.,The phone/camera.,The book.,The food.,The book.
113,03PRW_27.1_33.2,Which object was sat on by the person?,2,Interaction_T1_835,Interaction_T1,The table.,The bed.,The sofa/couch.,The floor.,The sofa/couch.
114,OVFR0_0_5.3,Which object was put down by the person?,1,Interaction_T1_846,Interaction_T1,The sandwich.,The book.,The food.,The paper/notebook.,The book.
115,JTBXI_31.3_36.5,Which object was taken by the person?,3,Interaction_T1_881,Interaction_T1,The phone/camera.,The book.,The cup/glass/bottle.,The pillow.,The pillow.
116,JTBXI_38_42,Which object was put down by the person?,3,Interaction_T1_882,Interaction_T1,The picture.,The cup/glass/bottle.,The food.,The pillow.,The pillow.
117,JTBXI_35.1_41.2,Which object was taken by the person?,3,Interaction_T1_883,Interaction_T1,The phone/camera.,The clothes.,The broom.,The pillow.,The pillow.
118,1HZGH_0_9.9,Which object was lied on by the person?,2,Interaction_T1_891,Interaction_T1,The bed.,The shoe.,The sofa/couch.,The floor.,The sofa/couch.
119,WXBEO_17.9_23.7,Which object was closed by the person?,2,Interaction_T1_918,Interaction_T1,The book.,The door.,The refrigerator.,The box.,The refrigerator.
120,358JF_4.4_9.7,Which object was put down by the person?,1,Interaction_T1_924,Interaction_T1,The shoe.,The cup/glass/bottle.,The book.,The laptop.,The cup/glass/bottle.
121,136V6_13.9_19.4,Which object was lied on by the person?,1,Interaction_T1_980,Interaction_T1,The mirror.,The sofa/couch.,The floor.,The bed.,The sofa/couch.
122,136V6_5_10.5,Which object was thrown by the person?,0,Interaction_T1_981,Interaction_T1,The shoe.,The pillow.,The towel.,The clothes.,The shoe.
123,136V6_30.2_35,Which object was taken by the person?,1,Interaction_T1_984,Interaction_T1,The sandwich.,The broom.,The box.,The blanket.,The broom.
124,XOOPP_6.7_15.2,Which object was put down by the person?,0,Interaction_T1_1005,Interaction_T1,The picture.,The phone/camera.,The box.,The blanket.,The picture.
125,OKXIQ_20.4_26,Which object was closed by the person?,3,Interaction_T1_1006,Interaction_T1,The book.,The door.,The box.,The closet/cabinet.,The closet/cabinet.
126,ZPRJH_0_4.5,Which object was sat on by the person?,1,Interaction_T1_1019,Interaction_T1,The bed.,The floor.,The table.,The sofa/couch.,The floor.
127,A33VQ_11.1_19.7,Which object was opened by the person?,1,Interaction_T1_1086,Interaction_T1,The window.,The refrigerator.,The closet/cabinet.,The book.,The refrigerator.
128,A33VQ_21_29.4,Which object was closed by the person?,1,Interaction_T1_1087,Interaction_T1,The door.,The refrigerator.,The book.,The box.,The refrigerator.
129,WM2J7_0_9,Which object was washed by the person?,2,Interaction_T1_1095,Interaction_T1,The dish.,The cup/glass/bottle.,The window.,The mirror.,The window.
130,R971Z_11.1_19.8,Which object was put down by the person?,2,Interaction_T1_1108,Interaction_T1,The cup/glass/bottle.,The towel.,The shoe.,The pillow.,The shoe.
131,2BO2G_28.5_35.7,Which object was put down by the person?,1,Interaction_T1_1109,Interaction_T1,The sandwich.,The picture.,The broom.,The paper/notebook.,The picture.
132,2BO2G_5.4_12,Which object was put down by the person?,0,Interaction_T1_1110,Interaction_T1,The box.,The cup/glass/bottle.,The food.,The paper/notebook.,The box.
133,2BO2G_17.3_26.6,Which object was put down by the person?,3,Interaction_T1_1111,Interaction_T1,The book.,The blanket.,The broom.,The picture.,The picture.
134,BVN7J_26.2_36,Which object was put down by the person?,0,Interaction_T1_1125,Interaction_T1,The dish.,The pillow.,The shoe.,The food.,The dish.
135,BVN7J_0_6.4,Which object was taken by the person?,3,Interaction_T1_1126,Interaction_T1,The book.,The food.,The shoe.,The dish.,The dish.
136,BVN7J_6.7_12.7,Which object was taken by the person?,0,Interaction_T1_1127,Interaction_T1,The dish.,The box.,The towel.,The laptop.,The dish.
137,BVN7J_17.8_23.7,Which object was taken by the person?,3,Interaction_T1_1128,Interaction_T1,The towel.,The clothes.,The paper/notebook.,The dish.,The dish.
138,OWUW8_0.3_4.6,Which object was thrown by the person?,1,Interaction_T1_1165,Interaction_T1,The shoe.,The clothes.,The book.,The food.,The clothes.
139,OWUW8_0_4.2,Which object was tidied up by the person?,2,Interaction_T1_1166,Interaction_T1,The table.,The towel.,The clothes.,The blanket.,The clothes.
140,E7GV1_0_3.1,Which object was taken by the person?,0,Interaction_T1_1168,Interaction_T1,The phone/camera.,The food.,The laptop.,The bag.,The phone/camera.
141,3JCEI_8.3_13,Which object was closed by the person?,2,Interaction_T1_1169,Interaction_T1,The door.,The closet/cabinet.,The laptop.,The box.,The laptop.
142,999BP_0_6.4,Which object was put down by the person?,2,Interaction_T1_1179,Interaction_T1,The dish.,The sandwich.,The bag.,The blanket.,The bag.
143,NTXXB_11_17.5,Which object was taken by the person?,1,Interaction_T1_1202,Interaction_T1,The paper/notebook.,The phone/camera.,The cup/glass/bottle.,The broom.,The phone/camera.
144,44PFW_17.6_24.2,Which object was opened by the person?,0,Interaction_T1_1219,Interaction_T1,The door.,The book.,The refrigerator.,The closet/cabinet.,The door.
145,44PFW_19.5_26,Which object was closed by the person?,0,Interaction_T1_1220,Interaction_T1,The door.,The refrigerator.,The laptop.,The window.,The door.
146,FO24A_0_6.9,Which object was sat at by the person?,2,Interaction_T1_1225,Interaction_T1,The floor.,The bed.,The table.,The sofa/couch.,The table.
147,Z7KC1_22.6_31,Which object was taken by the person?,0,Interaction_T1_1243,Interaction_T1,The broom.,The box.,The bag.,The paper/notebook.,The broom.
148,65UVU_5.1_9.3,Which object was put down by the person?,0,Interaction_T1_1246,Interaction_T1,The box.,The broom.,The book.,The bag.,The box.
149,65UVU_9.6_16.1,Which object was taken by the person?,0,Interaction_T1_1247,Interaction_T1,The box.,The shoe.,The broom.,The dish.,The box.
150,YX3V0_4.2_8.7,Which object was opened by the person?,0,Interaction_T1_1249,Interaction_T1,The book.,The door.,The closet/cabinet.,The refrigerator.,The book.
151,YX3V0_1.4_7.1,Which object was tidied up by the person?,1,Interaction_T1_1250,Interaction_T1,The broom.,The table.,The blanket.,The closet/cabinet.,The table.
152,5GP8M_6.5_14,Which object was put down by the person?,3,Interaction_T1_1255,Interaction_T1,The towel.,The food.,The book.,The phone/camera.,The phone/camera.
153,IOGR7_15.8_24.6,Which object was sat on by the person?,1,Interaction_T1_1265,Interaction_T1,The table.,The floor.,The bed.,The sofa/couch.,The floor.
154,BI6Y4_25.3_33.1,Which object was sat at by the person?,2,Interaction_T1_1272,Interaction_T1,The floor.,The sofa/couch.,The table.,The bed.,The table.
155,CVDZM_15.4_21.3,Which object was thrown by the person?,0,Interaction_T1_1276,Interaction_T1,The book.,The bag.,The towel.,The broom.,The book.
156,4BEZX_35.3_40,Which object was thrown by the person?,3,Interaction_T1_1289,Interaction_T1,The clothes.,The pillow.,The food.,The towel.,The towel.
157,4BEZX_35.3_40.6,Which object was put down by the person?,0,Interaction_T1_1291,Interaction_T1,The towel.,The box.,The shoe.,The dish.,The towel.
158,4BEZX_35.3_41.5,Which object was tidied up by the person?,3,Interaction_T1_1292,Interaction_T1,The blanket.,The clothes.,The closet/cabinet.,The towel.,The towel.
159,4BEZX_18.2_23.5,Which object was taken by the person?,2,Interaction_T1_1293,Interaction_T1,The phone/camera.,The food.,The towel.,The blanket.,The towel.
160,8XXNK_3_9,Which object was opened by the person?,1,Interaction_T1_1295,Interaction_T1,The refrigerator.,The box.,The window.,The door.,The box.
161,XKU2U_19.2_26.5,Which object was thrown by the person?,0,Interaction_T1_1300,Interaction_T1,The bag.,The box.,The broom.,The blanket.,The bag.
162,XKU2U_18.1_24.2,Which object was taken by the person?,1,Interaction_T1_1301,Interaction_T1,The laptop.,The bag.,The food.,The clothes.,The bag.
163,XKU2U_20.5_26.1,Which object was put down by the person?,0,Interaction_T1_1302,Interaction_T1,The bag.,The dish.,The food.,The sandwich.,The bag.
164,9YOI8_24.6_30.3,Which object was closed by the person?,2,Interaction_T1_1308,Interaction_T1,The closet/cabinet.,The refrigerator.,The window.,The door.,The window.
165,9YOI8_4.8_11.9,Which object was opened by the person?,3,Interaction_T1_1309,Interaction_T1,The door.,The laptop.,The book.,The window.,The window.
166,HOYUT_7.7_13.7,Which object was put down by the person?,1,Interaction_T1_1311,Interaction_T1,The book.,The towel.,The picture.,The pillow.,The towel.
167,HOYUT_15.6_20.1,Which object was taken by the person?,0,Interaction_T1_1312,Interaction_T1,The towel.,The blanket.,The clothes.,The cup/glass/bottle.,The towel.
168,HOYUT_9.1_13.9,Which object was thrown by the person?,3,Interaction_T1_1313,Interaction_T1,The clothes.,The pillow.,The food.,The towel.,The towel.
169,7TA23_14.6_21.4,Which object was put down by the person?,3,Interaction_T1_1336,Interaction_T1,The dish.,The box.,The sandwich.,The shoe.,The shoe.
170,0HGNK_7.3_13.1,Which object was put down by the person?,3,Interaction_T1_1359,Interaction_T1,The clothes.,The food.,The laptop.,The box.,The box.
171,4U8WV_8_14.9,Which object was thrown by the person?,0,Interaction_T1_1360,Interaction_T1,The towel.,The clothes.,The shoe.,The pillow.,The towel.
172,4U8WV_8.5_15.2,Which object was put down by the person?,0,Interaction_T1_1361,Interaction_T1,The towel.,The pillow.,The dish.,The picture.,The towel.
173,ICQUJ_13.8_22,Which object was eaten by the person?,2,Interaction_T1_1368,Interaction_T1,The medicine.,The door.,The sandwich.,The window.,The sandwich.
174,ICQUJ_15.9_21,Which object was put down by the person?,1,Interaction_T1_1369,Interaction_T1,The dish.,The sandwich.,The clothes.,The broom.,The sandwich.
175,ICQUJ_12.9_20.4,Which object was taken by the person?,1,Interaction_T1_1370,Interaction_T1,The phone/camera.,The sandwich.,The book.,The blanket.,The sandwich.
176,M6ERH_30_33,Which object was sat at by the person?,2,Interaction_T1_1375,Interaction_T1,The bed.,The sofa/couch.,The table.,The floor.,The table.
177,PRHR7_22.6_27.4,Which object was taken by the person?,3,Interaction_T1_1390,Interaction_T1,The box.,The cup/glass/bottle.,The book.,The towel.,The towel.
178,31LW5_4.1_10,Which object was lied on by the person?,0,Interaction_T1_1396,Interaction_T1,The bed.,The clothes.,The sofa/couch.,The floor.,The bed.
179,5W1Z7_0_8,Which object was lied on by the person?,0,Interaction_T1_1397,Interaction_T1,The bed.,The bag.,The sofa/couch.,The floor.,The bed.
180,S444Y_6.3_11.7,Which object was taken by the person?,2,Interaction_T1_1404,Interaction_T1,The towel.,The sandwich.,The bag.,The picture.,The bag.
181,S444Y_8.6_16,Which object was opened by the person?,2,Interaction_T1_1405,Interaction_T1,The refrigerator.,The door.,The bag.,The box.,The bag.
182,IAHN3_7.4_16,Which object was taken by the person?,0,Interaction_T1_1475,Interaction_T1,The phone/camera.,The clothes.,The laptop.,The book.,The phone/camera.
183,727IZ_14.9_19.6,Which object was sat at by the person?,3,Interaction_T1_1477,Interaction_T1,The sofa/couch.,The bed.,The floor.,The table.,The table.
