,video_name,question,question_id,answer,video_id,question_type,a0,a1,a2,a3,a4
37,4154619533,why did the man in jacket pick up an object from the table after talking,4154619533_CW_3,demonstrate how to use it,4154619533,CW,to show good,talking to surrounding people,demonstrate how to use it,reading the card,to wipe his face
38,3036261707,what did the boy do after he swing his body,3036261707_TN_9,stand still,3036261707,TN,put near his face,lie down,hold the swing,stand still,move backwards
39,4699202703,why is the boy holding a camera,4699202703_CW_0,take photo,4699202703,CW,filming another boy,take photo,playing with toy camera,adult pass it to him,posing for advertisement
40,8090435597,how was the boy rested as he looked at the ipad,8090435597_CH_7,leaning on sofa,8090435597,CH,sitting on the floor,lying down,kneeling,using the pillow he is holding,leaning on sofa
41,2612683715,why is the parrot moving the water out of the bowl,2612683715_CW_1,drink,2612683715,CW,drink,looking for food,conduct activity,try to intimidate dog,it s dirty
42,2581312980,why did the man turn their heads,2581312980_CW_0,talk to each other,2581312980,CW,going with rhythm,get oxygen,talk to each other,adjust something,performing acts
43,2400074985,how did woman express how she felt from spinning to friend near the end,2400074985_CH_11,excited speaking with body language,2400074985,CH,sway slightly,excited speaking with body language,shake hands,playing with her hair,point
44,2712318761,why does the two ladies wear sunglasses when they are dancing,2712318761_CW_1,to look cool,2712318761,CW,act in front of camera,performing,play with them,adjust something,to look cool
45,2471845614,why does the male in black suit kiss the female in the wedding gown nearing the end of the video,2471845614_CW_3,female is his bride,2471845614,CW,get closer look at magazine,adjust her headwear,playful,move man s face close,female is his bride
46,9934829764,why does the man in green release the man in black off the trapeze,9934829764_CW_3,let the man jump,9934829764,CW,cook,get onto main road,let the man jump,let him speak,record for later use
47,6594027277,why did the man in grey raised his actions near the end of the video,6594027277_CW_11,part of instructions,6594027277,CW,touch the boy in stripes,part of instructions,balance himself,scare baby,change something on screen
48,8090435597,why did the adult touched the ipad in the middle of the video,8090435597_CW_6,hold the ipad closer for boy,8090435597,CW,to turn on the screen,look at parents,adjust speaker,hold the ipad closer for boy,observe the keyboard
49,5408572348,what does the baby in white do after the girl pours the water at the start,5408572348_TN_7,dips her ladle in,5408572348,TN,hit lady s face,kick legs to paddle,wipe hair with wet cloth,put plush on the floor,dips her ladle in
50,5271062042,how is the man in brown rested as he plays the guitar,5271062042_CH_0,sitting,5271062042,CH,rocking,leaning,lying,standing,sitting
51,5379320378,why did nt the two men standing behind do anything throughout the whole performance,5379320378_CW_2,watching him,5379320378,CW,sleeping,watching him,support baby,playing game,shooting the balloons in the line
52,3976362264,how does the child interact with the toy shaped like a ball,3976362264_CH_1,bite it,3976362264,CH,push it with his hands,bite it,kick it,flip the toy around,pick up balls
53,6063052014,how did the man demonstrate to the baby to open his mouth before feeding him,6063052014_CH_6,he opened his own mouth,6063052014,CH,using a milk bottle,using a water bottle,uses his hands,he opened his own mouth,hold waffle with hands
54,5686014373,how did the man flip the boy over,5686014373_CH_2,carry him up,5686014373,CH,on his hands,on his belly,wrap in blaket,carry him up,roll the carpet
55,3060710599,why did the boy open and close the mouth of the alligator,3060710599_CW_2,play with it,3060710599,CW,find another toy,put food inside of it,brush its teeth,show baby how to play,play with it
56,5687893796,why is the lady in pink moving around the room in the beginning of the video,5687893796_CW_0,dancing,5687893796,CW,excited,searching,fidgeting around,dancing,not comfortable with the dog
57,4042843624,why is the man wearing shades,4042843624_CW_3,hot,4042843624,CW,mascot,protect from sun,stylish,hot,cool dancing
58,4192027724,why are the kids playing with empty cartons,4192027724_CW_1,curious,4192027724,CW,still cooking,prevent shoes from getting wet,curious,lick yogurt taste,waiting
59,5841926063,how did the man in white make sure that the horse continues to run,5841926063_CH_4,hit horse with stick,5841926063,CH,hit horse with stick,another horse chases,tie to a pole,whistle,using rope
60,4855795432,why are the cakes moving around in circles,4855795432_CW_1,container being spin around,4855795432,CW,the girl to blow,playing game,birthday candle,container being spin around,part of dance move
61,10211516755,what does the girl do after scooping some food at the start,10211516755_TN_7,eat it,10211516755,TN,come towards the lady,eat it,feed the food to baby,pretend to feed toy dog,turns around
62,2582976771,why did the boy turned back at the end of the video,2582976771_CW_7,look at the lady sitting,2582976771,CW,chase the ball,lure dog with treats,look at the lady sitting,carry boy off,adjust position of baby
63,9641305350,why did the man sit in the waters and look at the child play,9641305350_CW_2,supervise,9641305350,CW,supervise,look at the wave,playing with fishes,interested in tank,blowing balloons
64,5596908548,what does the man do after putting his left hand behind him in the middle,5596908548_TN_7,touch object hanging behind pants,5596908548,TN,looking around,look through pockets,raise his hands,write with a pen,touch object hanging behind pants
65,10830982353,how was the food transfered across the room,10830982353_CH_8,man hold it,10830982353,CH,hand over by kids,throw across the room,with toy car,man hold it,dog pulls it
66,8634740778,how did the white dog reach the stone path,8634740778_CH_9,walk towards stone path,8634740778,CH,a man took it there,tap the side of the tub,smells it,raise up,walk towards stone path
67,7282289126,why does the girl put up her hand at the end of the video,7282289126_CW_2,singing and dancing,7282289126,CW,balance,singing and dancing,speaking,talking and waving goodbye,scratch her back
68,6003229163,how are the girls moving in the woods,6003229163_CH_5,walking,6003229163,CH,crawls,pushes the pram,cycles,jumps,walking
69,7751455900,why does the man hold up the baby at the beginning,7751455900_CW_5,support the baby,7751455900,CW,keep the baby sleeping,playing with green item,to rock the baby,tease the baby,support the baby
70,2591888090,why is the man not pushing the baby walker instead of little boy,2591888090_CW_4,boy want to push,2591888090,CW,boy want to push,child too small to walk,to help him hit the plate,playing with him,support the baby
71,3265024425,how do the animals get their food,3265024425_CH_3,fed by zookeepers,3265024425,CH,from a bowl,put their head through the holes,spoon,moving outside cage,fed by zookeepers
72,6513201899,how does the child in red react to the woman in green,6513201899_CH_3,look and laugh,6513201899,CH,kiss,hits her,look and laugh,screams at her,make gestures
73,8692968296,why is the man moving his fingers across the instrument,8692968296_CW_7,playing the piano,8692968296,CW,playing the piano,singing along,enjoying music,to perform for person at sofa,imitate action
74,5841926063,why did the man outside reach out his hand when the horse runs near him,5841926063_CW_1,training it,5841926063,CW,resting,training it,controlled by lady,pat on chin,feed horse
75,5322122291,what do the man in suit and the lady do after shaking hands,5322122291_TN_6,high five each other,5322122291,TN,go to bench,move them,take the microphone back,high five each other,kiss her
76,8481787117,why did the girls raise their arms upwards a few times throughout the video,8481787117_CW_2,playing with toy in their hands,8481787117,CW,catch balloon,dance to song s rhythm,playing with toy in their hands,to push her,pick up towel
77,4330113365,how were the oranges drawn on the paper,4330113365_CH_9,painted,4330113365,CH,throwing around,jump around,painted,claps,with both hands
78,8095838321,what does the woman do after the boy jumps down from the monkey bars in the middle,8095838321_TN_7,let go of the swing,8095838321,TN,nod head,fall down,looks disappointed,let go of the swing,sits down
79,2637595500,what did the baby do after he reached the sofa,2637595500_TN_3,touched the sofa,2637595500,TN,crawl,stretch out his arms,drink,touched the sofa,playing with toy
80,3555802519,why is the baby moving his hands,3555802519_CW_1,fidgeting,3555802519,CW,imitate the lady,fidgeting,play,person playing with the baby,played with them previously
81,9038264963,why did the man beside the man in green hit his hands in a uniform beat when the man is reciting,9038264963_CW_2,pace the reciting,9038264963,CW,move out of the way,encourage,background for filming,pace the reciting,to dance
82,3962139149,why did the man in grey shirt laughed when the dominos stopped,3962139149_CW_9,finds it amusing,3962139149,CW,to stroke it,finds it amusing,not his part,enjoying music,happy playing with toys
83,3277823769,why did the lady bend down at the start,3277823769_CW_7,adjust the cot,3277823769,CW,pick up pebbles,writing something,adjust the cot,unstable to move,dance move
84,8481787117,how are the children moving around in the video,8481787117_CH_3,walking,8481787117,CH,crawling,driving,jumping,walking,cycling
85,10415409886,what do the men do after they bend down over the tyre,10415409886_TN_6,lift up the tyre,10415409886,TN,move in front,touch the camera,get off bike,lift up the tyre,smoke
86,5460608032,why is there no plants in the area shown in the video,5460608032_CW_0,desert,5460608032,CW,have been shifted outside the house,deadsea,cave,desert,deapsea
87,3252591972,why did the man push his body weight on the table on the red cloth,3252591972_CW_2,press down on can,3252591972,CW,formal event,draw cards,press down on can,playing cards,conferencespeakers
88,3252591972,how does the man operate the machine in the middle,3252591972_CH_5,pulling leaver,3252591972,CH,move handle,pulling leaver,turn tap,hit instrument with sticks,press the key
89,3468317018,how did the woman show affection to the dog in between,3468317018_CH_3,caress the dog,3468317018,CH,pat its head,by tilting the cup,point finger,with a leash,caress the dog
90,3400557969,why do both men talk before starting to surf,3400557969_CW_4,communicate,3400557969,CW,fast enough to catch the wave,to catch the wave,communicate,dangerous to cut near people,pose to end
91,5489050159,what does the man in blue do after covering his face with hands at the start,5489050159_TN_5,sits up,5489050159,TN,lay on stomach and laugh,showing others something,pull rod up,drink water,sits up
92,3322267252,why are the people at the background standing at the same position,3322267252_CW_9,waiting for train,3322267252,CW,waiting for train,seeing other people play,dancing to the same song,watching,looking at pictures
93,2622782176,why did the man holding the baby swing his body side by side,2622782176_CW_2,calming baby,2622782176,CW,dropped into the water,walking,calming baby,keep the baby sleeping,simulate an enemy
94,5770742977,why did the blue shirt boy raise his hands when the float reaches the bottom,5770742977_CW_0,excited,5770742977,CW,unhappy,playing with ball,catch the toy,to hit the net,excited
95,5710270308,how does the baby play with the balls,5710270308_CH_1,grab and wave,5710270308,CH,touch the toys,bite them,grab and wave,hit,spin them
96,4126506012,why are the people holding guitars,4126506012_CW_0,playing game,4126506012,CW,practicing,follow tutorial on tv,pose for photos,playing game,trendy
97,5036295532,what did the baby do after putting down the spoon,5036295532_TN_7,clap,5036295532,TN,playing with spoon,take out spoon,rub it on the tray,clap,tap table too
98,2399505725,why are the dogs running after each other,2399505725_CW_9,chase the bottle,2399505725,CW,try to bite each other,follow the ball,chasing the car,chase the bottle,guide direction
99,3954996353,why did the man in red raise his hands at the end of the video,3954996353_CW_8,hand gesture for cutting,3954996353,CW,done performing,excited,hand gesture for cutting,pick up water bag,part of performance
100,8903248754,how did the boy with green shorts get to the other side of the swimming pool,8903248754_CH_3,swim,8903248754,CH,swim,paddle,used his hands as a lever,pull the level,jump out of pool
101,6227157477,what did the soldiers do after they swing their guns in the middle of the video,6227157477_TN_6,move gun to the other hand,6227157477,TN,move gun to the other hand,laugh,put it down,touch the vacumm clearner,adjust their hat
102,8994022703,why does the lady laugh after looking at the mobile screen,8994022703_CW_1,funny message,8994022703,CW,find baby cute,funny message,beauty phone,to show something,enjoying the activity
103,3060710599,what did the boy do after he shaked the toy out of the plastic bag,3060710599_TN_3,picked it up,3060710599,TN,picked it up,throw it back in bowl,tried to stuff more toy,squat down,pick the toy from water
104,3233438837,why do the men sometimes move very close to the stage edge,3233438837_CW_4,get close to audience,3233438837,CW,same team,get close to audience,the troupe leader,acting,dancing with music
105,5209164320,why did the lady in blue cover her mouth before raising up the harmornica,5209164320_CW_1,she is laughing,5209164320,CW,take candles out,to rescue toddler who fell,guide the dog to run,she is laughing,point at the cake she likes
106,5769549970,what does the man in dark blue do after turning his head towards the police at the end,5769549970_TN_10,hit him,5769549970,TN,jumps,raise hand,hit him,move backward,walk toward camera
107,2973658146,what did the boy do after he looked at the ladies for a while,2973658146_TN_10,dip his hand in the glass,2973658146,TN,kiss the boy,look at camera,bend down,talks,dip his hand in the glass
108,3564059530,why is the man holding a card and bicycle in his hand,3564059530_CW_0,his items,3564059530,CW,for safety,better grip,uneven ground,man was cycling,his items
109,3058094185,why is the man laying on the sofa beside the boy,3058094185_CW_2,play with the boy,3058094185,CW,watching video,play with the boy,showing affection,eyes itchy,do not want to carry baby
110,13983574774,how did the boy in green react after unwrapping the present,13983574774_TN_6,happy,13983574774,TN,rest,happy,drop it,point middle finger,put them in the drawer
111,2526590751,why do all the people constantly look at the big waves,2526590751_CW_0,waiting for the waves,2526590751,CW,take photo,lion jumped into water,caused by boats,waiting for the waves,tourist attraction
112,4829041184,why does the dog pass the bottle back to the person,4829041184_CW_3,so that he can play,4829041184,CW,allow the person to drink from the bottle,so that he can play,share the bottle with baby,for the person to spin the bottle,to pour more water
113,4815162722,why did the lady in pink bend over the cake at the end,4815162722_CW_5,blow candle,4815162722,CW,blow candle,let girl blow second candle,eat the cake,pick up cupcake,pat baby s head
114,5942411333,why is the person pointing camera at people,5942411333_CW_5,capture pictures,5942411333,CW,show them camera,capture pictures,checking lighting,throwing camera to them,pointing to demonstrate
115,6157608500,why does the man pick up the baby and hug it in the middle of the video,6157608500_CW_1,affectionate gesture,6157608500,CW,affectionate gesture,to feel baby s head,tickle baby,protect the baby from falling,rocking the toy horse
116,5795646653,why did the man stand near the slope,5795646653_CW_1,watch boy rolling down,5795646653,CW,playing with the machine,waiting for the dog,watch boy rolling down,prevent falling off,to control the toy car
117,3798468368,how did baby get on chair,3798468368_CH_0,climbing,3798468368,CH,climbing,baby chair and table,in a baby carrier,in the high chair,lie down
118,4059247647,how did the baby pull the toy towards her,4059247647_CH_6,stretch her arm,4059247647,CH,with baby hands,stretch her arm,tuck out tongue,touch the figurines,touched it
119,7093500213,why is the man lifting a drum onto a platform on stage near the beginning,7093500213_CW_2,prepare a performance,7093500213,CW,dance on it,engrossed in music,pose seriously,playing the drum,prepare a performance
120,2830844169,why did the boy tilted the bottle,2830844169_CW_3,drinking,2830844169,CW,keep their own belonging,feel the music,take something from bottom,drinking,for water to drip down
121,2436811248,what does the boy do after the man opens the laptop halfway at the start,2436811248_TN_7,touch keyboard,2436811248,TN,touch keyboard,throw the ball,adjust it,pick little boy up,look at screen
122,10718903414,why does the woman in blue bend down at the start of the video,10718903414_CW_5,snatch something from girl,10718903414,CW,to play with it,not her turn,did not want the lei,snatch something from girl,conversing
123,6913450810,what does the boy in blue do after reaching the other end of the wall,6913450810_TN_7,make funny faces,6913450810,TN,stop running,lay on stomach and laugh,pick up the fork,make funny faces,walk
124,6016490500,why is the lady wearing big hat,6016490500_CW_3,to give herself shade,6016490500,CW,fashionable,performance,to give herself shade,posing for photo,protect head from injuries in accident
125,12952480344,how does the lady control the tap,12952480344_CH_8,hold while turning,12952480344,CH,hold while turning,jumping up and down,hit water with her hands,press the switch,on left hand
126,9393719235,why are there two girls standing up and facing the rest of the people,9393719235_CW_1,speaking to the audience,9393719235,CW,dancing,taking shelter,speaking to the audience,give a speech,talking to girl
127,4800432556,why is the boy sliding down the slide,4800432556_CW_0,playing,4800432556,CW,it got stuck,playing,to catch the baby,wants to get down,slide down with baby
128,9525696229,why are the man and the lady standing on the beach looking at the girl,9525696229_CW_4,look after the girl,9525696229,CW,look after the girl,at the beach,to play with water,look for food,fishing
129,9970084224,what does the white dog do after the black dog with leash turns around at the start,9970084224_TN_2,climb on it,9970084224,TN,climb on it,sniff the white dog,bark at white dog,trying to chase the white dog,put white paper in front of dog
130,3751822104,why does the man speaking to the group wear uniform,3751822104_CW_0,instructor,3751822104,CW,sledding,show gesture,communicate with audience,instructor,protect from sun
131,4283455837,how does the lady in white ensure that the baby does not fall over,4283455837_CH_0,carry in her arm,4283455837,CH,takes support on the floor,stand at the roadside,carry in her arm,holding his hand,lie on bed
132,4338819435,how did the lady show that she is shy at the end of the video,4338819435_CH_7,look at the man and smile,4338819435,CH,look at the man and smile,hold his hand,laughs,hits him with the bead,one of hand not in position
133,5408572348,why did the girl in blue pour the water from one pail to another,5408572348_CW_0,get more water,5408572348,CW,get more water,following,filming her,take photos,enjoying the activity
134,5246766161,what does the girl do after turning to the camera,5246766161_TN_9,said something,5246766161,TN,said something,playing tablet,move towards the camera,smile and pose,looks at the boy
135,2547045867,why does the man in grey swipe his hand sharply before the vehicle pulls away,2547045867_CW_4,suggest car leaving,2547045867,CW,suggest car leaving,panick,check for cars,change direction,stop the car
136,12015983824,why did all the children wear white coats,12015983824_CW_0,lab experiment,12015983824,CW,feed cat with food,boxing,their outfit,at home,lab experiment
137,6320419082,why does one of the girls turn round and round,6320419082_CW_2,playing,6320419082,CW,windy day,playing,cycling,to catch rolling fallen bapple,dancing
138,4953208186,what did the man do after speaking,4953208186_TN_4,talks to the lady,4953208186,TN,engaged,lower the camera on his shirt,continue paddling,talks to the lady,stop
139,5717777815,why did the lady shake the boys hands up and down,5717777815_CW_0,playing,5717777815,CW,start to dance,prepare to catch,playing,hold for support,blow bubbles
140,3196912028,why did the woman in blue pass a paper to each of the children after she has written something on it,3196912028_CW_2,giving them instructions,3196912028,CW,take control from the girl,too young to have strong grip,giving them instructions,curious,show the people around
141,5942411333,what does the man on stage do after putting his hand in his vest,5942411333_TN_10,takes out some paper,5942411333,TN,play video,takes out some paper,take photos,singing,wave hands
142,7729753698,why is the man in white holding a knife,7729753698_CW_0,open coconut,7729753698,CW,filming,open coconut,hand gesture while talking,chef,cut fish open
143,9970084224,what does the black dog with leash do after approaching the woman at the start,9970084224_TN_3,sniff the lady,9970084224,TN,moves sideways,sniff the lady,moves in front,move backwards,rubs the dog
144,3751822104,why does the man in uniforrm gesture his hands as he speaks,3751822104_CW_3,describe better,3751822104,CW,explaining using hand gestures,check the hair cut,amplify his voice,demonstrating,describe better
145,2869614883,how do the children slide down,2869614883_CH_7,flip over on their stomach position,2869614883,CH,flip over on their stomach position,press the buttons,laying down,on his dad,crawl
146,2422465594,how did the bigger rabbit react after the smaller rabbit approaches it,2422465594_TN_4,jumped,2422465594,TN,turn his body,continue eating,moves back,jumped,near the soil area
147,8331338778,why are they wearing heavy clothing,8331338778_CW_2,cold,8331338778,CW,snowfall outside,cold,protect from sunburnt,windy,avoid injury if fall
148,7973772218,why does the girl put her left leg on the ground at the end of the video,7973772218_CW_3,can not balance anymore,7973772218,CW,get closer to baby,finish presentation,comfortable posture,can not balance anymore,to pat the dog
149,3396832512,why is the woman holding a piece of meat at the start,3396832512_CW_1,attract the cat,3396832512,CW,attract bird,she is dozing off,eat the cake,attract the cat,play with it
150,4953208186,why did the man and woman turned and look at each other,4953208186_CW_0,talking to each other,4953208186,CW,details about car,talking to each other,gesturing to them,it s sunny,following the screen
151,10626519064,why was the girl in pink running from left to right in the middle,10626519064_CW_6,looking at her,10626519064,CW,want to take the balloon,play with dog,prevent her flag from being taken away,looking at her,follow the ball
152,2885656050,how did the man clean his bat in the middle of the video,2885656050_CH_7,rub bat with sleeve,2885656050,CH,rub bat with sleeve,hold it tightly,shake his head,kicked ball,move closer
153,4953208186,what did the lady do after touching her face,4953208186_TN_2,look towards the man,4953208186,TN,look towards the man,excited,move her left arm,touch the baby again,hat
154,8316378691,how does boy react after opening the present,8316378691_TN_3,carry up the dog,8316378691,TN,disappointed,cover it again,carry up the dog,continue reading,pick up pink object
155,2885991220,what did the boy do after he first turned to the camera,2885991220_TN_6,laughed,2885991220,TN,touch his hair,nods head,walk close to it and look,laughed,spray them with water
156,5620721035,why did the boy sit down and crawl instead in the end,5620721035_CW_1,can not climb so decided to crawl,5620721035,CW,can not climb so decided to crawl,play his toy,want to play with adult,practicing crawling,dance move
157,6990172057,why is the man in black consistently watching the boy in yellow at the end,6990172057_CW_9,making sure the boy is safe,6990172057,CW,boy is dancing,observing the reaction,making sure the boy is safe,watching him singing,concentrated on working
158,6343797119,why did the man in black hold up a bottle of water near this face when the camera moved,6343797119_CW_7,drinking,6343797119,CW,mixing things,touch baby,face wet,drinking,win competition
159,8585296242,why did the woman in red move the arms of the boy in white and blue while looking at the screen,8585296242_CW_1,make boy gesture,8585296242,CW,help to take out microphone,arrange their standing,show him the cake,safety,make boy gesture
160,5630988927,how is the baby moving himself at the start of the video,5630988927_CH_0,crawling,5630988927,CH,on his stomach,running,crawling,on pram,on lady legs
161,6070985304,why did the first man spin and jump into the pool,6070985304_CW_0,stunt,6070985304,CW,protect his head,to splash water at them,performance,stunt,to show judges
162,8634740778,what did the white dog do after the brown dog walked away at the start of the video,8634740778_TN_6,sniff around,8634740778,TN,jump on the chair,bite,wag its tail then stand up,follow the man s gesture,sniff around
163,4719167605,why does the baby keep fidgeting,4719167605_CW_2,wants to move,4719167605,CW,want to play with toy,looking at the tablet,want to eat food,excited then got distracted,wants to move
164,5408572348,what does the baby in white do after putting down the pail at the end,5408572348_TN_9,puts his hands in the bowl,5408572348,TN,playing,puts his hands in the bowl,feed horse with grass,pour milk on floor,look at wrapper
165,3350647572,why is the girl smiling at the start of the video,3350647572_CW_0,play with toy,3350647572,CW,make balloon fly,play with toy,not time yet,excited to play,read something fuuny
166,6150459616,why does the girl in blue follows the girl in pink on the other side,6150459616_CW_2,curious,6150459616,CW,curious,not get lost,looking for food,learning from girl,picking vegetables
167,9393719235,why is the man in black putting his hand on his face while looking at the girls talking,9393719235_CW_4,listen to them carefully,9393719235,CW,listen to them carefully,emphasise points,intrigued by him,wipe tears,shy
168,11166208165,why did the lady touch the child s hair when her hair is touching her mouth,11166208165_CW_4,move hair out of her face,11166208165,CW,windy day,playing with baby,very hot,shocked,move hair out of her face
169,4338260909,why did the man reach out his palm while he is talking,4338260909_CW_2,hand gesture,4338260909,CW,talking to the camera,unable to talk,hand gesture,introduce the wine,talking to each other
170,13974008375,why does the girl in white start imitate the person in blue jacket at the end of the video,13974008375_CW_5,dance together,13974008375,CW,dance together,lauughing,play with girl,try to take sprinkle to eat,happy
171,6320419082,why do the girls sit down in between,6320419082_CW_3,dance move,6320419082,CW,dance move,read to boy,posing,talk to girl at same height,to sit comfortably
172,3574384655,why did the horse change direction after running for a while,3574384655_CW_1,reaches the fence,3574384655,CW,change posture to support baby,to prepare to push harder,reaches the fence,wave pushed him,shot the gun
173,4789310455,how does the baby hold his right hand with his left hand at the end of the video,4789310455_CH_3,grab fingers,4789310455,CH,shake hands,pat the baby,grab fingers,wave hands,kick legs
174,2885656050,how did the man support himself when he was squatting down at the beginning of the video,2885656050_CH_8,hold onto bat,2885656050,CH,look around him,wipe on pants,put baby on his lap,hold the chair,hold onto bat
175,3134592560,why did the lady give the boy the cream squeezer at the end,3134592560_CW_3,let him add cream on layer,3134592560,CW,lick the back of the spoon,feed baby,wants more,he successfully balanced it,let him add cream on layer
176,3301442525,why does the man in grey shirt pushing the door of the car in the middle at the start of the video,3301442525_CW_1,closing door,3301442525,CW,put on window,laughing,draw other people s attention to things,turning the truck,closing door
177,4164627367,how is the bicycle moving in the video,4164627367_CH_1,people pedalling,4164627367,CH,wear helmet,move around the table,people pedalling,ride up and down slopes,hold the handlebarstem
